operation,size,time
iloczyn skalarny,1,1.83e-7
iloczyn skalarny,4,9.6e-8
iloczyn skalarny,9,8.5e-8
iloczyn skalarny,16,1.37e-7
iloczyn skalarny,25,1.26e-7
iloczyn skalarny,36,1.25e-7
iloczyn skalarny,49,1.41e-7
iloczyn skalarny,64,1.05e-7
iloczyn skalarny,81,1.22e-7
iloczyn skalarny,100,1.56e-7
mnozenie macierzy,1,4.1e-7
mnozenie macierzy,4,3.11e-7
mnozenie macierzy,9,3.02e-7
mnozenie macierzy,16,1.027e-6
mnozenie macierzy,25,1.677e-6
mnozenie macierzy,36,2.429e-6
mnozenie macierzy,49,3.137e-6
mnozenie macierzy,64,4.527e-6
mnozenie macierzy,81,1.0405e-5
mnozenie macierzy,100,1.1467e-5
iloczyn skalarny,1,5.7e-8
iloczyn skalarny,4,1.18e-7
iloczyn skalarny,9,1.45e-7
iloczyn skalarny,16,1.36e-7
iloczyn skalarny,25,1.32e-7
iloczyn skalarny,36,1.24e-7
iloczyn skalarny,49,1.62e-7
iloczyn skalarny,64,1.4e-7
iloczyn skalarny,81,1.57e-7
iloczyn skalarny,100,1.61e-7
mnozenie macierzy,1,2.02e-7
mnozenie macierzy,4,3.06e-7
mnozenie macierzy,9,2.87e-7
mnozenie macierzy,16,1.163e-6
mnozenie macierzy,25,1.539e-6
mnozenie macierzy,36,2.241e-6
mnozenie macierzy,49,3.058e-6
mnozenie macierzy,64,4.37e-6
mnozenie macierzy,81,7.464e-6
mnozenie macierzy,100,1.0907e-5
iloczyn skalarny,1,5.7e-8
iloczyn skalarny,4,1.58e-7
iloczyn skalarny,9,1.11e-7
iloczyn skalarny,16,8.7e-8
iloczyn skalarny,25,1.03e-7
iloczyn skalarny,36,9.5e-8
iloczyn skalarny,49,1.3e-7
iloczyn skalarny,64,1.44e-7
iloczyn skalarny,81,1.28e-7
iloczyn skalarny,100,1.47e-7
mnozenie macierzy,1,3.4e-7
mnozenie macierzy,4,2.93e-7
mnozenie macierzy,9,2.49e-7
mnozenie macierzy,16,8.42e-7
mnozenie macierzy,25,1.566e-6
mnozenie macierzy,36,2.603e-6
mnozenie macierzy,49,3.337e-6
mnozenie macierzy,64,4.316e-6
mnozenie macierzy,81,6.926e-6
mnozenie macierzy,100,1.0524e-5
iloczyn skalarny,1,6.5e-8
iloczyn skalarny,4,7.4e-8
iloczyn skalarny,9,9.1e-8
iloczyn skalarny,16,9.7e-8
iloczyn skalarny,25,1.15e-7
iloczyn skalarny,36,2.01e-7
iloczyn skalarny,49,1.22e-7
iloczyn skalarny,64,1.64e-7
iloczyn skalarny,81,2.46e-7
iloczyn skalarny,100,1.62e-7
mnozenie macierzy,1,3.6e-7
mnozenie macierzy,4,2.57e-7
mnozenie macierzy,9,2.22e-7
mnozenie macierzy,16,1.386e-6
mnozenie macierzy,25,1.321e-6
mnozenie macierzy,36,2.212e-6
mnozenie macierzy,49,3.52e-6
mnozenie macierzy,64,4.38e-6
mnozenie macierzy,81,7.003e-6
mnozenie macierzy,100,9.635e-6
iloczyn skalarny,1,6.4e-8
iloczyn skalarny,4,9.8e-8
iloczyn skalarny,9,1.07e-7
iloczyn skalarny,16,1.07e-7
iloczyn skalarny,25,1.02e-7
iloczyn skalarny,36,1.34e-7
iloczyn skalarny,49,1.21e-7
iloczyn skalarny,64,1.11e-7
iloczyn skalarny,81,1.53e-7
iloczyn skalarny,100,2.2e-7
mnozenie macierzy,1,2.58e-7
mnozenie macierzy,4,2.57e-7
mnozenie macierzy,9,2.94e-7
mnozenie macierzy,16,1.134e-6
mnozenie macierzy,25,1.523e-6
mnozenie macierzy,36,2.267e-6
mnozenie macierzy,49,3.224e-6
mnozenie macierzy,64,4.688e-6
mnozenie macierzy,81,7.9e-6
mnozenie macierzy,100,9.933e-6
iloczyn skalarny,1,5.7e-8
iloczyn skalarny,4,9.1e-8
iloczyn skalarny,9,8.6e-8
iloczyn skalarny,16,1.13e-7
iloczyn skalarny,25,8.4e-8
iloczyn skalarny,36,1.01e-7
iloczyn skalarny,49,1.06e-7
iloczyn skalarny,64,1.37e-7
iloczyn skalarny,81,1.58e-7
iloczyn skalarny,100,1.69e-7
mnozenie macierzy,1,1.78e-7
mnozenie macierzy,4,2.51e-7
mnozenie macierzy,9,2.51e-7
mnozenie macierzy,16,7.2e-7
mnozenie macierzy,25,1.591e-6
mnozenie macierzy,36,2.286e-6
mnozenie macierzy,49,2.765e-6
mnozenie macierzy,64,5.167e-6
mnozenie macierzy,81,6.719e-6
mnozenie macierzy,100,7.953e-6
iloczyn skalarny,1,6.9e-8
iloczyn skalarny,4,8.0e-8
iloczyn skalarny,9,9.2e-8
iloczyn skalarny,16,8.0e-8
iloczyn skalarny,25,9.6e-8
iloczyn skalarny,36,1.33e-7
iloczyn skalarny,49,1.13e-7
iloczyn skalarny,64,1.23e-7
iloczyn skalarny,81,1.39e-7
iloczyn skalarny,100,1.52e-7
mnozenie macierzy,1,1.71e-7
mnozenie macierzy,4,2.92e-7
mnozenie macierzy,9,2.69e-7
mnozenie macierzy,16,7.18e-7
mnozenie macierzy,25,1.547e-6
mnozenie macierzy,36,2.335e-6
mnozenie macierzy,49,3.461e-6
mnozenie macierzy,64,4.476e-6
mnozenie macierzy,81,7.619e-6
mnozenie macierzy,100,8.481e-6
iloczyn skalarny,1,6.3e-8
iloczyn skalarny,4,8.2e-8
iloczyn skalarny,9,1.14e-7
iloczyn skalarny,16,1.11e-7
iloczyn skalarny,25,1.52e-7
iloczyn skalarny,36,1.32e-7
iloczyn skalarny,49,1.24e-7
iloczyn skalarny,64,1.19e-7
iloczyn skalarny,81,1.55e-7
iloczyn skalarny,100,1.59e-7
mnozenie macierzy,1,1.68e-7
mnozenie macierzy,4,2.22e-7
mnozenie macierzy,9,2.42e-7
mnozenie macierzy,16,6.37e-7
mnozenie macierzy,25,1.583e-6
mnozenie macierzy,36,2.187e-6
mnozenie macierzy,49,2.622e-6
mnozenie macierzy,64,4.064e-6
mnozenie macierzy,81,6.41e-6
mnozenie macierzy,100,1.1417e-5
iloczyn skalarny,1,7.1e-8
iloczyn skalarny,4,1.22e-7
iloczyn skalarny,9,1.38e-7
iloczyn skalarny,16,1.24e-7
iloczyn skalarny,25,1.24e-7
iloczyn skalarny,36,1.36e-7
iloczyn skalarny,49,1.33e-7
iloczyn skalarny,64,1.43e-7
iloczyn skalarny,81,1.55e-7
iloczyn skalarny,100,2.75e-7
mnozenie macierzy,1,2.13e-7
mnozenie macierzy,4,2.59e-7
mnozenie macierzy,9,3.09e-7
mnozenie macierzy,16,5.99e-7
mnozenie macierzy,25,1.558e-6
mnozenie macierzy,36,2.252e-6
mnozenie macierzy,49,2.433e-6
mnozenie macierzy,64,4.244e-6
mnozenie macierzy,81,6.64e-6
mnozenie macierzy,100,8.708e-6
iloczyn skalarny,1,5.8e-8
iloczyn skalarny,4,8.8e-8
iloczyn skalarny,9,9.8e-8
iloczyn skalarny,16,9.8e-8
iloczyn skalarny,25,1.07e-7
iloczyn skalarny,36,2.25e-7
iloczyn skalarny,49,1.39e-7
iloczyn skalarny,64,1.43e-7
iloczyn skalarny,81,1.34e-7
iloczyn skalarny,100,1.8e-7
mnozenie macierzy,1,2.0e-7
mnozenie macierzy,4,2.21e-7
mnozenie macierzy,9,2.73e-7
mnozenie macierzy,16,6.59e-7
mnozenie macierzy,25,1.664e-6
mnozenie macierzy,36,2.148e-6
mnozenie macierzy,49,2.692e-6
mnozenie macierzy,64,4.751e-6
mnozenie macierzy,81,6.574e-6
mnozenie macierzy,100,7.765e-6
